iter	RMSE
0	75269.98971
1	73115.05898
2	71143.25455
3	69079.48471
4	67262.15603
5	65348.18383
6	63793.30837
7	62153.77608
8	60544.86536
9	59043.02243
10	57594.04799
11	56329.16009
12	55050.7292
13	53835.33322
14	52664.34691
15	51462.42874
16	50269.79533
17	49212.31988
18	48169.66698
19	47264.08014
20	46322.06893
21	45432.01464
22	44527.43763
23	43738.74039
24	42997.56696
25	42279.75745
26	41519.22605
27	40824.71921
28	40201.59005
29	39530.92617
30	38922.30395
31	38273.93227
32	37677.24751
33	37146.32218
34	36563.73071
35	36047.29963
36	35524.56959
37	35113.1056
38	34635.60861
39	34253.75559
40	33895.20833
41	33480.08686
42	33103.89864
43	32761.73976
44	32378.77104
45	32068.25253
46	31761.26398
47	31405.44963
48	31060.14911
49	30779.99263
50	30501.46677
51	30169.86192
52	29877.90778
53	29633.19898
54	29395.73921
55	29124.19332
56	28891.3763
57	28626.88442
58	28428.37039
59	28236.79684
60	28004.8398
61	27797.68104
62	27602.12981
63	27412.0125
64	27225.49905
65	27041.70748
66	26891.31114
67	26755.11594
68	26557.24719
69	26430.23161
70	26285.20096
71	26115.85947
72	26016.51167
73	25909.56357
74	25762.22266
75	25606.45961
76	25457.9592
77	25313.67213
78	25181.26276
79	25058.64296
80	24921.90221
81	24768.32458
82	24617.56654
83	24512.85476
84	24416.79864
85	24302.36144
86	24189.68825
87	24101.29054
88	23972.20252
89	23855.51196
90	23752.02753
91	23670.19917
92	23586.88654
93	23492.34665
94	23386.9286
95	23258.41603
96	23192.67842
97	23102.17173
98	23000.58781
99	22921.32171
100	22821.53834
101	22740.84591
102	22626.27548
103	22565.71108
104	22457.6016
105	22377.01642
106	22273.45738
107	22211.75797
108	22149.35518
109	22093.78002
110	22049.42834
111	22028.32554
112	21946.89828
113	21872.36724
114	21830.65331
115	21741.33025
116	21696.17925
117	21631.87323
118	21566.30088
119	21481.48897
120	21427.42286
121	21348.272
122	21285.403
123	21210.23768
124	21145.64924
125	21090.92843
126	21023.97252
127	20965.43342
128	20922.13724
129	20895.88477
130	20843.97788
131	20795.24353
132	20749.73908
133	20685.01477
134	20638.48427
135	20581.15718
136	20528.07894
137	20484.78777
138	20444.98672
139	20402.42273
140	20362.55423
141	20310.53651
142	20279.03726
143	20233.08023
144	20192.57776
145	20140.19384
146	20082.49813
147	20030.23062
148	19998.1802
149	19938.51969
150	19894.80125
151	19856.71272
152	19816.17929
153	19786.70744
154	19735.92748
155	19695.60907
156	19675.14945
157	19623.3124
158	19591.64759
159	19552.54701
160	19520.3904
161	19476.81356
162	19433.90963
163	19405.32444
164	19369.71324
165	19325.73272
166	19270.84003
167	19240.46259
168	19193.64123
169	19145.54898
170	19108.3783
171	19081.41477
172	19023.23876
173	18989.19343
174	18973.78632
175	18948.123
176	18904.86024
177	18886.74568
178	18866.68824
179	18853.27693
180	18809.8252
181	18767.31555
182	18726.61879
183	18687.28887
184	18637.442
185	18615.15447
186	18583.30448
187	18547.07422
188	18526.03355
189	18480.33072
190	18469.70119
191	18451.46556
192	18438.76958
193	18413.05049
194	18379.50855
195	18338.48937
196	18307.55378
197	18269.59123
198	18228.99288
199	18203.97244
200	18168.18134
201	18130.30593
202	18118.14537
203	18094.42269
204	18058.04645
205	18034.39196
206	18004.50742
207	17967.43155
208	17952.06428
209	17943.84292
210	17929.59128
211	17899.48014
212	17877.76112
213	17867.68964
214	17831.40935
215	17794.68458
216	17759.34354
217	17719.02468
218	17691.94627
219	17646.31352
220	17634.08083
221	17609.60544
222	17581.91179
223	17538.85655
224	17495.3064
225	17485.53247
226	17469.53606
227	17425.04223
228	17417.84714
229	17390.20288
230	17363.21676
231	17353.58372
232	17320.71509
233	17280.2657
234	17239.63775
235	17208.74122
236	17199.72678
237	17160.48485
238	17114.54135
239	17078.13816
240	17048.78719
241	17011.87909
242	17004.06779
243	16997.90334
244	16959.13001
245	16928.01821
246	16899.27947
247	16865.95116
248	16848.87647
249	16839.62047
250	16801.48574
251	16795.71737
252	16790.1067
253	16760.55015
254	16727.65407
255	16698.02125
256	16686.94674
257	16659.62252
258	16650.70946
259	16634.26004
260	16617.19199
261	16580.25587
262	16573.99367
263	16568.77227
264	16541.00247
265	16519.53347
266	16476.64445
267	16429.14212
268	16397.30397
269	16371.44249
270	16345.36048
271	16308.44898
272	16298.82683
273	16268.33304
274	16230.8674
275	16194.30744
276	16159.50323
277	16154.93681
278	16119.73746
279	16084.77863
280	16074.97665
281	16038.38174
282	16013.74499
283	15982.40958
284	15960.58623
285	15920.35559
286	15879.86338
287	15870.79179
288	15864.47087
289	15844.92024
290	15806.09635
291	15783.80817
292	15775.44435
293	15743.88558
294	15739.50863
295	15720.70989
296	15702.11527
297	15698.13356
298	15676.73036
299	15649.89654
300	15626.13499
301	15595.54976
302	15576.75256
303	15569.33521
304	15533.56309
305	15506.62066
306	15478.68027
307	15457.4854
308	15434.2632
309	15411.34142
310	15397.00117
311	15371.73849
312	15347.69075
313	15323.80666
314	15307.41503
315	15272.19694
316	15267.99432
317	15253.54621
318	15249.90191
319	15242.14205
320	15224.32075
321	15198.14518
322	15166.2156
323	15144.5089
324	15141.03161
325	15123.17025
326	15102.88
327	15099.49457
328	15084.45917
329	15064.92915
330	15042.84037
331	15020.53061
332	14980.11731
333	14958.41145
334	14955.18173
335	14945.48589
336	14940.88529
337	14916.29958
338	14908.96427
339	14881.37413
340	14875.90633
341	14868.49953
342	14859.3099
343	14832.10543
344	14829.15195
345	14814.61803
346	14783.86245
347	14763.96088
348	14731.80084
349	14705.06839
350	14688.01884
351	14666.88628
352	14649.50469
353	14627.21906
354	14605.36568
355	14572.55083
356	14544.5792
357	14515.12925
358	14489.38087
359	14457.74837
360	14438.4103
361	14416.56399
362	14400.28087
363	14366.13007
364	14339.33042
365	14320.43478
366	14314.94235
367	14294.80874
368	14273.94717
369	14246.56013
370	14235.57846
371	14210.90631
372	14183.71139
373	14155.68904
374	14129.20915
375	14107.28868
376	14088.06658
377	14064.06905
378	14045.61054
379	14021.45392
380	13995.56603
381	13977.40591
382	13958.36275
383	13932.54098
384	13903.15988
385	13885.42908
386	13866.48428
387	13847.48047
388	13828.77081
389	13821.2771
390	13792.01568
391	13774.57305
392	13771.9516
393	13753.98616
394	13733.61521
395	13711.61059
396	13692.82554
397	13673.38044
398	13650.28446
399	13623.59596
400	13608.80221
401	13595.27791
402	13571.76001
403	13549.14289
404	13525.01311
405	13522.39525
406	13505.09226
407	13479.68241
408	13456.16234
409	13436.64715
410	13415.32218
411	13393.5215
412	13373.6184
413	13359.88245
414	13339.0198
415	13335.23137
416	13320.99011
417	13304.89027
418	13294.31692
419	13280.73192
420	13248.2872
421	13244.64089
422	13217.38187
423	13190.12174
424	13165.38196
425	13161.36088
426	13146.56487
427	13128.01326
428	13113.76769
429	13096.46318
430	13092.97611
431	13090.11743
432	13077.62711
433	13053.48808
434	13037.47007
435	13016.10117
436	12999.86617
437	12983.04941
438	12971.09453
439	12953.37882
440	12942.15897
441	12927.1666
442	12924.83031
443	12921.23003
444	12918.48984
445	12897.29527
446	12875.40883
447	12862.24372
448	12835.35227
449	12819.5023
450	12816.35581
451	12791.59246
452	12775.53921
453	12752.22613
454	12733.94088
455	12720.10638
456	12697.50922
457	12684.02822
458	12665.43333
459	12661.46694
460	12643.66423
461	12632.80675
462	12610.75413
463	12589.03862
464	12575.89009
465	12573.74365
466	12571.83157
467	12554.454
468	12529.28735
469	12527.03088
470	12509.55308
471	12490.404
472	12488.66183
473	12482.97599
474	12464.52662
475	12440.06346
476	12427.86403
477	12419.59365
478	12403.09483
479	12385.03922
480	12368.34838
481	12352.90488
482	12332.85452
483	12305.22227
484	12286.555
485	12265.21934
486	12249.99451
487	12228.77582
488	12212.08168
489	12192.27599
490	12173.63619
491	12155.47636
492	12134.4092
493	12121.86215
494	12119.72971
495	12107.97905
496	12106.26778
497	12091.47193
498	12074.31315
499	12059.94158
500	12039.99025
