iter	Passed	Remaining
0	12	11950
1	16	7515
2	19	5931
3	22	5182
4	25	4743
5	29	4612
6	32	4345
7	35	4155
8	38	3988
9	41	3874
10	44	3776
11	47	3680
12	50	3602
13	53	3547
14	57	3562
15	61	3515
16	63	3465
17	66	3420
18	70	3389
19	72	3349
20	76	3319
21	80	3336
22	83	3326
23	86	3299
24	89	3272
25	92	3250
26	95	3227
27	98	3206
28	101	3182
29	104	3163
30	107	3142
31	110	3128
32	113	3111
33	116	3093
34	119	3078
35	122	3062
36	125	3051
37	128	3042
38	131	3031
39	134	3018
40	137	3008
41	140	2994
42	143	2984
43	146	2972
44	149	2963
45	152	2953
46	155	2944
47	158	2933
48	161	2926
49	164	2916
50	167	2904
51	169	2894
52	172	2885
53	175	2877
54	178	2867
55	181	2859
56	184	2851
57	187	2845
58	190	2836
59	193	2830
60	196	2822
61	199	2815
62	202	2809
63	205	2800
64	207	2792
65	210	2786
66	213	2780
67	216	2773
68	219	2765
69	222	2760
70	225	2752
71	228	2746
72	231	2740
73	234	2733
74	237	2728
75	239	2720
76	242	2713
77	245	2707
78	248	2700
79	251	2693
80	254	2688
81	256	2682
82	259	2676
83	262	2672
84	265	2667
85	268	2661
86	271	2655
87	274	2650
88	277	2646
89	280	2641
90	283	2636
91	287	2644
92	290	2641
93	293	2636
94	296	2631
95	299	2627
96	302	2623
97	305	2618
98	308	2613
99	311	2608
100	314	2603
101	317	2598
102	319	2593
103	322	2588
104	326	2589
105	329	2584
106	332	2580
107	335	2574
108	337	2570
109	340	2565
110	343	2560
111	346	2555
112	349	2550
113	352	2546
114	355	2541
115	357	2536
116	360	2531
117	363	2527
118	367	2530
119	370	2526
120	373	2521
121	376	2517
122	379	2513
123	382	2509
124	385	2504
125	387	2500
126	390	2495
127	393	2491
128	396	2487
129	399	2483
130	402	2479
131	405	2475
132	408	2469
133	410	2465
134	413	2462
135	416	2457
136	419	2453
137	422	2448
138	425	2445
139	428	2441
140	431	2437
141	434	2433
142	436	2429
143	439	2425
144	442	2422
145	445	2418
146	448	2414
147	451	2410
148	454	2406
149	457	2402
150	459	2394
151	462	2390
152	465	2387
153	468	2383
154	471	2379
155	473	2375
156	476	2372
157	479	2368
158	482	2364
159	485	2360
160	488	2356
161	491	2353
162	494	2350
163	497	2346
164	500	2342
165	502	2338
166	505	2334
167	508	2330
168	511	2326
169	514	2322
170	516	2318
171	519	2314
172	522	2311
173	525	2308
174	528	2304
175	532	2307
176	535	2303
177	538	2299
178	541	2295
179	544	2292
180	547	2288
181	550	2284
182	552	2281
183	555	2278
184	558	2274
185	561	2271
186	564	2267
187	567	2263
188	570	2260
189	573	2256
190	576	2253
191	579	2250
192	582	2246
193	585	2243
194	588	2240
195	590	2236
196	593	2233
197	596	2229
198	599	2226
199	602	2223
200	605	2219
201	608	2215
202	611	2212
203	613	2208
204	616	2205
205	619	2202
206	622	2199
207	625	2195
208	628	2192
209	631	2189
210	634	2186
211	637	2182
212	640	2179
213	643	2175
214	646	2172
215	649	2169
216	651	2166
217	654	2163
218	657	2160
219	660	2156
220	663	2153
221	666	2149
222	669	2146
223	672	2143
224	675	2139
225	678	2136
226	681	2135
227	685	2135
228	690	2136
229	694	2136
230	698	2137
231	702	2137
232	706	2138
233	710	2137
234	715	2139
235	719	2139
236	723	2139
237	727	2140
238	731	2140
239	737	2146
240	742	2146
241	745	2145
242	749	2143
243	753	2142
244	756	2140
245	760	2139
246	764	2138
247	768	2137
248	771	2135
249	775	2133
250	779	2132
251	782	2130
252	786	2129
253	790	2128
254	794	2128
255	798	2128
256	802	2127
257	806	2125
258	809	2123
259	813	2121
260	817	2119
261	820	2117
262	824	2116
263	828	2114
264	831	2112
265	836	2112
266	840	2112
267	844	2111
268	848	2109
269	851	2107
270	855	2105
271	859	2104
